date,tournament,player1,player2,sets1,sets2,score,odd1,odd2
2025-01-01,Nairobi 3 ITF,Herrmann S. (8),Suvirdjonkova D.,2,0,6-4 6-2,1.15,4.54
2025-01-01,Nairobi 3 ITF,Okutoyi A. (6),Bhandari P.,2,0,6-1 6-0,1.03,9.70
2025-01-01,Nairobi 3 ITF,Pace F.,Okuwaki R. (7),2,0,6-3 6-2,1.65,2.14
2025-01-01,Nairobi 3 ITF,Pawlikowska Z.,Tsygourova K.,2,0,6-4 6-3,1.59,2.22
2025-01-01,Nairobi 3 ITF,Ren Y. (5),Tran D.,2,1,4-6 6-2 6-4,1.23,3.82
2025-01-01,Nairobi 3 ITF,Reguer A.,Varese S.,2,0,6-0 6-1,1.00,26.00
2025-01-01,Nairobi 3 ITF,Schaedel L.,Stoilkovska M.,2,1,6-3 4-6 6-2,1.71,2.02
2025-01-01,Nairobi 3 ITF,Easwaramurthi A.,Wanjala C.,2,0,6-3 6-3,1.66,2.13
2025-01-01,Nairobi 3 ITF,Tran L. (4),Van De Peer V.,2,0,6-4 6-0,1.31,3.12
2025-01-01,UTR Pro Match Series,McNeil C.,Gabriel A.,2,1,6-3 63-7 6-2,1.56,2.22
2025-01-01,UTR Pro Match Series,Gimbrere J.,Licht T.,2,0,6-3 6-1,1.08,6.50
2025-01-01,UTR Pro Match Series,Wang X.,Clemens J.,2,0,6-2 6-3,1.03,7.25
2025-01-01,UTR Pro Match Series,Sharabura K.,Motosono K.,2,0,6-4 6-2,1.16,4.32
2025-01-01,UTR Pro Match Series,Burgic Bucko E.,Jauffret C.,2,0,7-63 6-4,,
2025-01-01,UTR Pro Match Series,Arakawa H.,Nicholson S.,2,0,6-2 6-1,1.13,4.70
2025-01-01,UTR Pro Match Series,Johnson A.,Arakawa N.,2,0,7-64 6-2,1.56,2.22
2025-01-01,UTR Pro Match Series,Nahum G.,Brownback E.,2,0,6-1 6-3,1.18,4.00
2025-01-01,UTR Pro Match Series,Zhytelna Y.,Gownder K.,2,1,5-7 7-64 6-4,2.07,1.64
2025-01-01,UTR Pro Match Series,Evans K.,Riester J.,2,0,6-2 6-0,1.04,7.17
2025-01-01,UTR Pro Match Series,Sherif J.,Woog M.,2,1,7-67 3-6 6-315,1.82,1.82
2025-01-01,UTR Pro Match Series,Xantava T.,Iacono A.,2,1,5-7 6-4 7-5,,
2025-01-01,UTR Pro Match Series,Feldman N.,Gownder S.,2,0,7-63 6-4,1.93,1.72
2025-01-01,UTR Pro Match Series,Yakoff S.,Ikwueme A.,2,0,6-4 6-3,,
2025-01-01,UTR Pro Match Series,Herrero Linana A.,Apisah V.,2,1,3-6 6-3 6-2,1.09,6.25
2025-01-01,UTR Pro Match Series,Shcherbinina A.,Gruber T.,2,1,4-6 6-3 6-1,1.03,7.83
2025-01-01,UTR Pro Match Series,Gowda T.,Ounmuang S.,2,0,6-0 7-5,,
2025-01-01,UTR Pro Match Series,Ngounoue M.,Zhu A.,2,0,6-3 6-3,2.07,1.64
2025-01-01,UTR Pro Match Series,Pennings M.,Deatherage M.,2,0,6-4 6-1,4.78,1.14
2025-01-01,UTR Pro Match Series,Fouhety C.,Bulger H.,2,1,4-6 7-64 6-4,,
2025-01-01,UTR Pro Match Series,Fry P.,Yoon S.,2,1,6-2 3-6 6-2,,
2025-01-01,UTR Pro Match Series,Sorey A.,Bruno A.,2,1,6-2 4-6 6-3,,
2025-01-01,UTR Pro Match Series,Miroshnichenko V.,Feldman N.,2,1,65-7 6-2 6-1,1.18,4.11
2025-01-01,UTR Pro Match Series,Gownder S.,Sherif J.,2,0,7-62 7-5,1.43,2.54
2025-01-01,UTR Pro Match Series,Kay S.,Riester J.,2,0,6-4 6-0,1.51,2.33
2025-01-01,UTR Pro Match Series,Evans K.,Zhytelna Y.,2,0,7-5 6-1,1.06,6.58
2025-01-01,UTR Pro Match Series,Gowda T.,Iacono A.,2,0,6-1 6-1,1.17,4.50
2025-01-02,United Cup,Swiatek I.,Boulter K.,2,1,64-7 6-1 6-4,1.08,7.62
2025-01-02,Brisbane,Sabalenka A. (1),Putintseva Y. (15),2,0,7-62 6-4,1.15,5.45
2025-01-02,Brisbane,Bouzkova M.,Azarenka V. (10),2,0,6-4 6-4,2.15,1.70
2025-01-02,Brisbane,Jabeur O.,Avanesyan E.,2,1,6-4 1-6 6-4,1.69,2.15
2025-01-02,Brisbane,Andreeva M. (8),Noskova L. (12),2,0,6-3 6-0,1.57,2.38
2025-01-02,Brisbane,Kalinina A.,Yuan Y.,2,0,6-1 6-4,2.16,1.69
2025-01-02,Brisbane,Kudermetova P.,Kasatkina D. (3),2,1,1-6 6-2 7-5,2.44,1.55
2025-01-02,Brisbane,Krueger A.,Lamens S.,2,0,7-5 6-0,1.58,2.35
2025-01-02,Brisbane,Birrell K.,Potapova A.,2,0,7-62 6-2,2.51,1.52
2025-01-02,Auckland,Baptiste H.,Burrage J.,2,1,5-7 7-5 7-66,1.54,2.47
2025-01-02,Auckland,Parks A.,Minnen G.,2,0,7-5 6-3,1.92,1.87
2025-01-02,Auckland,Montgomery R.,Hibino N.,2,0,6-2 6-2,1.70,2.14
2025-01-02,Auckland,Keys M. (1),Cristian J.,2,0,6-1 6-2,1.18,4.89
2025-01-02,Canberra WTA,Wei S.,Waltert S.,2,0,6-1 6-4,1.77,2.00
2025-01-02,Canberra WTA,Ito A. (7),Stojanovic N.,2,0,6-2 7-66,2.10,1.70
2025-01-02,Canberra WTA,Eala A.,Preston T.,2,1,4-6 6-2 6-1,1.59,2.30
2025-01-02,Canberra WTA,Parrizas-Diaz N. (1),Selekhmeteva O.,2,0,6-3 6-3,1.58,2.33
2025-01-02,Nonthaburi ITF,Yamalapalli S.,Shi H. (3),2,1,5-7 6-0 6-2,2.13,1.64
2025-01-02,Nonthaburi ITF,Vandewinkel H. (5),Lu J.,2,0,6-2 6-2,1.33,3.69
2025-01-02,Nonthaburi ITF,Okamura K. (6),Andrianjafitrimo T.,2,0,6-1 6-3,2.27,2.26
2025-01-02,Nonthaburi ITF,Liu C.,Monnet C. (4),2,1,0-6 7-66 6-4,1.37,3.23
2025-01-02,Nonthaburi ITF,Ma Y. (7),Yao X.,2,1,3-6 6-3 6-3,1.76,1.94
2025-01-02,Nonthaburi ITF,Von Deichmann K. (1),Wong H.,2,0,6-2 6-2,1.46,3.20
2025-01-02,Nonthaburi ITF,Tararudee L. (2),Jang S.,2,0,7-5 7-64,1.57,2.26
2025-01-02,Nonthaburi ITF,Mateas M. (8),Saigo R.,2,0,7-62 7-63,1.62,2.15
2025-01-02,Nairobi 3 ITF,Okutoyi A. (6),Pawlikowska Z.,2,1,2-6 6-4 6-3,1.51,2.83
2025-01-02,Nairobi 3 ITF,Garland J. (1),Panwar Y.,2,0,6-1 6-1,1.01,14.00
2025-01-02,Nairobi 3 ITF,Stankiewicz M.,Xiao L.,2,0,6-2 6-1,1.03,9.87
2025-01-02,Nairobi 3 ITF,Pace F.,Easwaramurthi A.,2,0,6-4 6-0,1.02,12.44
2025-01-02,Nairobi 3 ITF,Tran L. (4),Higashitani N.,2,0,6-3 7-5,1.06,7.44
2025-01-02,Nairobi 3 ITF,Herrmann S. (8),Mikaul G.,2,0,6-4 6-0,1.17,4.93
2025-01-02,Nairobi 3 ITF,Schaedel L.,Laskutova K. (3),2,0,6-4 7-65,4.01,1.20
2025-01-02,Nairobi 3 ITF,Reguer A.,Ren Y. (5),2,0,6-2 6-1,2.53,2.37
2025-01-02,UTR Pro Match Series,Usui K.,Isyanov E.,2,1,3-6 6-3 6-3,,
2025-01-02,UTR Pro Match Series,Roselli G.,Brownback E.,2,0,6-1 7-66,1.31,3.08
2025-01-02,UTR Pro Match Series,Gowda T.,Xantava T.,2,0,6-0 6-4,,
2025-01-02,UTR Pro Match Series,Branstine C.,Chen Y.,2,0,6-1 6-1,,
2025-01-02,UTR Pro Match Series,Miroshnichenko V.,Gownder S.,2,0,6-3 6-4,1.16,4.32
2025-01-02,UTR Pro Match Series,Kiss C.,Nordikyan K.,2,0,7-5 6-3,1.31,3.08
2025-01-02,UTR Pro Match Series,Feldman N.,Woog M.,2,0,7-5 7-5,1.31,3.08
2025-01-02,UTR Pro Match Series,Wang X.,Garcia M.,2,0,7-5 6-2,1.03,7.75
2025-01-02,UTR Pro Match Series,Dutta M.,Ounmuang S.,2,0,7-62 6-0,4.11,1.18
2025-01-02,UTR Pro Match Series,Pennings M.,Jauffret C.,2,1,6-0 2-6 7-63,,
2025-01-02,UTR Pro Match Series,Snyder S.,Johnson A.,2,0,6-2 6-1,2.68,1.38
2025-01-02,UTR Pro Match Series,Shcherbinina A.,Holod S.,2,0,6-2 6-2,,
2025-01-02,UTR Pro Match Series,Shabashkevich K.,Fry P.,2,1,6-3 3-6 6-4,,
2025-01-02,UTR Pro Match Series,Gimbrere J.,Sharabura K.,2,0,6-2 6-3,1.14,4.62
2025-01-02,UTR Pro Match Series,Apisah V.,Licht T.,2,0,6-3 6-4,2.07,1.64
2025-01-02,UTR Pro Match Series,Branstine C.,Kiss C.,2,0,6-0 6-2,1.04,7.17
2025-01-02,UTR Pro Match Series,Deaifi D.,Chhiv I.,2,0,6-1 6-3,4.17,1.19
2025-01-02,UTR Pro Match Series,Nordikyan K.,Kojonroj N.,2,1,6-3 5-7 6-3,1.31,3.08
2025-01-02,UTR Pro Match Series,Borruel D.,Allegre O.,2,0,6-2 6-3,,
2025-01-02,UTR Pro Match Series,Roselli G.,Reynoldson E.,2,0,6-0 7-5,1.26,3.15
2025-01-02,UTR Pro Match Series,Isyanov E.,Garcia M.,2,0,6-4 6-2,,
2025-01-03,United Cup,Muchova K.,Paolini J.,2,0,6-2 6-2,1.61,2.28
2025-01-03,Brisbane,Sabalenka A. (1),Bouzkova M.,2,0,6-3 6-4,1.10,7.15
2025-01-03,Brisbane,Kudermetova P.,Krueger A.,2,0,7-65 6-3,2.44,1.55
2025-01-03,Brisbane,Andreeva M. (8),Jabeur O.,2,0,6-4 7-62,1.28,3.67
2025-01-03,Brisbane,Kalinina A.,Birrell K.,2,1,4-6 6-1 7-5,1.70,2.14
2025-01-03,Auckland,Tauson C. (5),Keys M. (1),2,0,6-4 7-67,3.31,1.33
2025-01-03,Auckland,Osaka N. (7),Baptiste H.,2,1,62-7 6-1 6-2,1.24,4.01
2025-01-03,Auckland,Montgomery R.,Pera B.,2,0,6-4 6-4,2.16,1.69
2025-01-03,Canberra WTA,Wei S.,Eala A.,2,0,7-5 6-2,1.72,2.06
2025-01-03,Canberra WTA,Ito A. (7),Parrizas-Diaz N. (1),2,0,6-2 6-2,1.77,2.03
2025-01-03,Nonthaburi ITF,Okamura K. (6),Tararudee L. (2),1,0,,,
2025-01-03,Nonthaburi ITF,Von Deichmann K. (1),Vandewinkel H. (5),2,0,6-1 7-5,1.90,1.84
2025-01-03,Nonthaburi ITF,Yamalapalli S.,Mateas M. (8),2,1,6-3 5-7 6-3,2.39,2.18
2025-01-03,Nonthaburi ITF,Liu C.,Ma Y. (7),2,0,7-5 7-64,1.65,3.97
2025-01-03,Nairobi 3 ITF,Stankiewicz M.,Herrmann S. (8),2,1,64-7 7-5 6-2,1.23,3.58
2025-01-03,Nairobi 3 ITF,Tran L. (4),Pace F.,2,1,1-6 6-2 6-1,1.48,2.59
2025-01-03,Nairobi 3 ITF,Garland J. (1),Okutoyi A. (6),2,1,4-6 6-2 6-3,1.17,4.50
2025-01-03,Nairobi 3 ITF,Reguer A.,Schaedel L.,2,0,6-3 6-4,1.19,4.30
2025-01-03,UTR Pro Match Series,Nahum G.,Jorniak P.,2,0,6-3 6-1,1.13,4.70
2025-01-03,UTR Pro Match Series,Roselli G.,Holod S.,2,1,6-2 65-7 7-60,,
2025-01-03,UTR Pro Match Series,Xantava T.,Isyanov E.,2,0,6-0 6-2,1.83,1.83
2025-01-03,UTR Pro Match Series,Dutta M.,Wang X.,2,0,6-4 6-2,4.11,1.18
2025-01-03,UTR Pro Match Series,Brownback E.,Garcia M.,2,0,6-1 6-1,1.26,3.35
2025-01-03,UTR Pro Match Series,Evans K.,Gownder K.,2,0,6-1 6-0,1.16,4.40
2025-01-03,UTR Pro Match Series,Branstine C.,Nordikyan K.,2,0,6-1 6-3,1.02,8.33
2025-01-03,UTR Pro Match Series,Miroshnichenko V.,Sherif J.,2,1,62-7 7-63 6-0,1.06,6.58
2025-01-03,UTR Pro Match Series,Burgic Bucko E.,McNeil C.,2,0,6-0 6-0,2.07,1.64
2025-01-03,UTR Pro Match Series,Ounmuang S.,Clemens J.,2,0,6-1 6-1,1.07,6.33
2025-01-03,UTR Pro Match Series,Zhu A.,Bulger H.,2,1,3-6 7-5 6-3,1.10,5.42
2025-01-03,UTR Pro Match Series,Iacono A.,Gruber T.,2,1,7-64 64-7 6-2,,
2025-01-03,UTR Pro Match Series,Bervid V.,Gabriel A.,2,0,6-2 6-2,,
2025-01-03,UTR Pro Match Series,Herrero Linana A.,Ngounoue M.,2,0,6-4 7-63,1.34,2.90
2025-01-03,UTR Pro Match Series,Usui K.,Nahum G.,2,1,4-6 6-3 6-4,,
2025-01-03,UTR Pro Match Series,Gowda T.,Shcherbinina A.,2,0,6-4 6-2,,
2025-01-03,UTR Pro Match Series,Fouhety C.,Yakoff S.,2,1,1-6 6-3 6-1,,
2025-01-03,UTR Pro Match Series,Arakawa H.,Deatherage M.,2,1,6-1 2-6 6-2,1.07,6.17
2025-01-03,UTR Pro Match Series,Deaifi D.,Murthy A.,2,0,6-0 6-2,2.45,1.48
2025-01-03,UTR Pro Match Series,Riester J.,Gownder K.,2,0,6-2 6-3,3.03,1.32
2025-01-03,UTR Pro Match Series,Borruel D.,Chhiv I.,2,0,6-3 7-5,1.31,3.08
2025-01-03,UTR Pro Match Series,Evans K.,Kay S.,2,0,6-1 6-3,1.14,4.65
2025-01-04,United Cup,Gauff C.,Muchova K.,2,0,6-1 6-4,1.60,2.29
2025-01-04,United Cup,Swiatek I.,Rybakina E.,2,0,7-65 6-4,1.48,2.61
2025-01-04,Brisbane,Sabalenka A. (1),Andreeva M. (8),2,0,6-3 6-2,1.36,3.16
2025-01-04,Brisbane,Kudermetova P.,Kalinina A.,2,0,6-4 6-3,1.95,1.84
2025-01-04,Auckland,Osaka N. (7),Parks A.,2,0,6-4 6-2,1.22,4.33
2025-01-04,Auckland,Tauson C. (5),Montgomery R.,2,0,6-4 6-3,1.45,2.73
2025-01-04,Auckland,Parks A.,Volynets K. (8),2,0,6-1 6-4,2.01,1.78
2025-01-04,Canberra WTA,Ito A. (7),Wei S.,2,0,6-4 6-3,1.75,2.03
2025-01-04,Nonthaburi ITF,Okamura K. (6),Liu C.,1,0,,3.07,1.33
2025-01-04,Nonthaburi ITF,Von Deichmann K. (1),Yamalapalli S.,2,0,6-0 6-3,1.49,2.47
2025-01-04,Nairobi 3 ITF,Tran L. (4),Stankiewicz M.,2,0,6-2 6-3,2.79,1.41
2025-01-04,Nairobi 3 ITF,Garland J. (1),Reguer A.,2,0,6-2 6-3,1.14,5.11
2025-01-04,UTR Pro Match Series,Deaifi D.,Kiss C.,2,1,2-6 6-3 7-64,5.25,1.11
2025-01-04,UTR Pro Match Series,Sherif J.,Kay S.,2,1,3-6 6-2 6-4,2.07,1.64
2025-01-04,UTR Pro Match Series,Burgic Bucko E.,Arakawa H.,2,1,2-6 6-2 6-4,3.08,1.31
2025-01-04,UTR Pro Match Series,Miroshnichenko V.,Evans K.,2,0,6-1 6-3,1.61,2.12
2025-01-04,UTR Pro Match Series,Branstine C.,Borruel D.,2,0,6-1 6-4,1.03,8.00
2025-01-04,UTR Pro Match Series,Ounmuang S.,Reynoldson E.,2,0,6-0 6-0,1.16,4.32
2025-01-04,UTR Pro Match Series,Sorey A.,Pennings M.,2,0,6-3 6-4,,
2025-01-04,UTR Pro Match Series,Gowda T.,Usui K.,2,0,7-5 7-65,,
2025-01-04,UTR Pro Match Series,Brownback E.,Iacono A.,2,1,7-65 65-7 6-4,,
2025-01-04,UTR Pro Match Series,Herrero Linana A.,Gimbrere J.,2,1,1-6 6-3 6-4,2.22,1.56
2025-01-04,UTR Pro Match Series,Woog M.,Gownder S.,2,1,3-6 6-2 6-0,2.68,1.38
2025-01-04,UTR Pro Match Series,Allegre O.,Murthy A.,2,0,6-1 6-2,,
2025-01-04,UTR Pro Match Series,Kay S.,Zhytelna Y.,2,0,6-4 6-3,1.38,2.68
2025-01-04,UTR Pro Match Series,Borruel D.,Deaifi D.,2,0,7-5 6-0,1.11,5.25
2025-01-04,Adelaide,Siniakova K. (6),Bucsa C.,2,0,7-5 6-0,1.50,2.49
2025-01-04,Adelaide,Krueger A. (10),Tomljanovic A.,2,0,7-5 6-4,1.46,2.62
2025-01-04,Adelaide,Bouzkova M. (5),Da Silva Fick G.,2,1,2-6 7-5 6-2,1.04,10.66
2025-01-04,Adelaide,Siegemund L.,Guo H. (1),2,0,6-3 6-3,1.26,3.28
2025-01-04,Adelaide,Rakhimova K. (8),Cristian J.,2,1,1-6 7-5 6-2,1.70,2.10
2025-01-04,Adelaide,Bencic B.,Uchijima M. (9),2,0,6-2 6-3,1.30,3.45
2025-01-04,Adelaide,Niemeier J.,Cirstea S. (11),2,0,6-4 6-2,2.09,1.71
2025-01-04,Adelaide,Fernandez L. (2),Burrage J.,2,0,6-3 7-62,1.19,4.45
2025-01-04,Adelaide,Sakkari M. (3),Zheng S.,1,0,6-2 4-0,1.21,4.11
2025-01-04,Adelaide,Stearns P. (7),Helgo M.,2,0,6-2 6-1,1.05,9.19
2025-01-04,Adelaide,Begu I. (12),Mcphee K.,2,0,6-2 6-2,1.09,6.87
2025-01-04,Adelaide,Wang X. (4),Maria T.,2,0,7-5 6-4,1.36,3.02
2025-01-04,Hobart,Minnen G. (10),Papamichail D.,2,0,6-3 6-1,1.10,6.44
2025-01-04,Hobart,Sonmez Z. (6),Plipuech P.,2,0,6-0 6-1,1.03,13.91
2025-01-04,Hobart,Bronzetti L. (1),Gibson T.,2,0,6-2 7-67,1.44,2.71
2025-01-04,Hobart,Bondar A. (8),Moore T.,2,0,7-63 6-4,1.03,13.30
2025-01-04,Hobart,Wang X. (12),Beck A.,2,0,6-0 6-0,1.03,12.93
2025-01-04,Hobart,Parrizas-Diaz N. (7),Appleton E.,2,1,4-6 6-4 6-4,1.11,6.22
2025-01-04,Hobart,Rus A. (3),Fung S.,2,0,6-1 6-1,1.19,4.46
2025-01-04,Hobart,Li A. (11),Paquet C.,2,1,2-6 6-3 6-1,1.18,4.55
2025-01-04,Hobart,Andreeva E. (4),Bozovic A.,2,1,7-5 3-6 6-1,1.07,8.00
2025-01-04,Hobart,Lamens S. (5),Alame R.,2,0,6-0 6-3,1.01,14.61
2025-01-04,Hobart,Zarazua R. (2),Kaji H.,2,0,6-1 7-65,1.16,4.99
2025-01-04,Hobart,Carle M. (9),Aulia C.,2,0,6-4 6-3,1.06,8.61
2025-01-04,Naples 4 ITF,Bui J. (13),Norin F.,2,0,6-2 6-2,,
2025-01-05,United Cup,Gauff C.,Swiatek I.,2,0,6-4 6-4,2.33,1.59
2025-01-05,Brisbane,Sabalenka A. (1),Kudermetova P.,2,1,4-6 6-3 6-2,1.06,10.00
2025-01-05,Auckland,Tauson C. (5),Osaka N. (7),1,0,4-6,2.71,1.46
2025-01-05,Nonthaburi ITF,Okamura K. (6),Von Deichmann K. (1),2,1,7-5 1-6 7-5,2.68,1.43
2025-01-05,Nairobi 3 ITF,Garland J. (1),Tran L. (4),2,0,6-1 6-1,1.23,3.81
2025-01-05,UTR Pro Match Series,Sahdiieva A.,Nayar S.,2,0,6-4 6-3,1.38,2.68
2025-01-05,UTR Pro Match Series,Erickson K.,Crump A.,2,0,6-0 6-0,1.14,5.00
2025-01-05,UTR Pro Match Series,Cerda P.,Lombardi J.,2,0,6-2 6-0,,
2025-01-05,UTR Pro Match Series,Deaifi D.,Sherif J.,2,0,6-4 6-3,2.73,1.38
2025-01-05,UTR Pro Match Series,Miroshnichenko V.,Branstine C.,2,0,7-5 6-2,3.58,1.23
2025-01-05,UTR Pro Match Series,Holmes M.,Sambola I.,2,0,6-1 6-3,1.51,2.33
2025-01-05,UTR Pro Match Series,Burgic Bucko E.,Herrero Linana A.,2,0,7-62 6-2,2.56,1.42
2025-01-05,UTR Pro Match Series,Zhu A.,Shabashkevich K.,2,1,6-3 3-6 6-4,,
2025-01-05,UTR Pro Match Series,Woog M.,Riester J.,2,0,6-3 6-4,1.69,1.97
2025-01-05,UTR Pro Match Series,Chhiv I.,Chen Y.,2,0,6-4 6-1,,
2025-01-05,UTR Pro Match Series,Zhytelna Y.,Feldman N.,2,0,6-4 6-3,3.58,1.23
2025-01-05,Adelaide,Siniakova K. (6),Krueger A. (10),2,1,6-3 2-6 6-2,1.98,1.77
2025-01-05,Adelaide,Bouzkova M. (5),Niemeier J.,2,1,3-6 6-1 6-2,1.31,3.37
2025-01-05,Adelaide,Bencic B.,Siegemund L.,2,0,6-2 6-3,1.23,4.00
2025-01-05,Adelaide,Wang X. (4),Rakhimova K. (8),2,0,6-3 6-1,1.47,2.61
2025-01-05,Adelaide,Fernandez L. (2),Begu I. (12),2,0,6-3 6-1,1.29,3.50
2025-01-05,Adelaide,Stearns P. (7),Sakkari M. (3),2,1,6-4 610-7 6-3,1.84,1.90
2025-01-05,Antalya ITF,Franke J.,Demidova E.,2,0,6-3 6-0,1.05,8.50
2025-01-05,Antalya ITF,Voronina K.,Starkova P.,1,0,,,
2025-01-05,Antalya ITF,Harajda E. (16),Beresova L.,2,1,3-6 6-1 10-4,,
2025-01-05,Antalya ITF,Komada Y.,Dzimovic S.,2,0,6-2 6-2,,
2025-01-05,Antalya ITF,Arystanbekova A. (15),Zanjani F.,2,0,6-3 6-0,,
2025-01-05,Antalya ITF,Gaemperle M.,Aydin F.,2,0,6-3 6-2,,
2025-01-05,Antalya ITF,Nie X.,Matuszewski L.,2,0,6-3 6-2,,
2025-01-05,Hobart,Minnen G. (10),Bronzetti L. (1),2,0,6-3 7-64,1.97,1.79
2025-01-05,Hobart,Parrizas-Diaz N. (7),Rus A. (3),2,1,6-2 5-7 7-65,1.90,1.85
2025-01-05,Hobart,Bondar A. (8),Sonmez Z. (6),2,0,7-5 6-3,3.76,1.26
2025-01-05,Hobart,Li A. (11),Lamens S. (5),2,0,6-1 6-4,1.84,1.91
2025-01-05,Hobart,Carle M. (9),Zarazua R. (2),2,1,6-1 66-7 6-1,2.76,1.42
2025-01-05,Hobart,Wang X. (12),Andreeva E. (4),2,0,6-3 6-3,1.56,2.35
2025-01-05,Le Lamentin ITF,Moneva Y.,Rose M. (5),2,1,1-6 6-0 10-7,1.48,2.48
2025-01-05,Le Lamentin ITF,Leacock Y. (3),Rose L.,2,0,6-1 6-4,,
2025-01-05,Le Lamentin ITF,Schlepphorst A.,Molongo J. (8),2,0,6-1 6-3,1.05,8.50
2025-01-05,Le Lamentin ITF,Adair M. (4),Kaur A.,1,0,,,
2025-01-05,Le Lamentin ITF,Malik T. (6),Moutama A.,1,0,,,
2025-01-05,Le Lamentin ITF,Vilar G. (7),Gerley B.,1,0,,,
2025-01-05,Monastir 17 ITF,Makhlouf M. (10),Ben Abdallah A.,2,0,6-1 6-0,1.02,11.00
2025-01-05,Monastir 17 ITF,Margaria E. (14),Essid A.,2,0,6-4 6-0,1.33,3.25
2025-01-05,Monastir 17 ITF,Daroszewska J.,Abid N. (15),2,0,6-4 6-3,1.83,1.83
2025-01-05,Monastir 17 ITF,Mateva A. (11),Valle C.,1,0,,1.57,2.25
