rank,player,years,peak elo,set margin
96,Alexander Shevchenko,2018–2026,"1,777",-0.68
97,Sho Shimabukuro,2016–2026,"1,698",-0.72
98,Aleksandar Vukic,2018–2026,"1,800",-0.50
99,Yibing Wu,2017–2026,"1,814",-0.35
100,Luca Van Assche,2021–2026,"1,680",-0.79
101,Alex Molcan,2015–2026,"1,857",+0.03
102,Reilly Opelka,2015–2026,"1,973",+0.04
103,Hubert Hurkacz,2015–2026,"2,053",+0.48
104,Rinky Hijikata,2021–2026,"1,764",-0.80
105,Damir Dzumhur,2011–2026,"1,951",-0.47
106,Jan Choinski,2012–2026,"1,552",-1.31
107,Yunchaokete Bu,2019–2026,"1,612",-0.57
108,Martin Damm,2019–2026,"1,712",+0.09
109,Coleman Wong,2019–2026,"1,717",-0.83
110,Dalibor Svrcina,2018–2026,"1,681",-0.56
111,Stan Wawrinka,2002–2026,"2,268",+0.51
112,Titouan Droguet,2018–2026,"1,720",+0.20
113,Jack Draper,2018–2026,"2,141",+1.11
114,Patrick Kypson,2019–2026,"1,554",-0.81
115,Roberto Bautista Agut,2005–2026,"2,106",+0.54
116,Leandro Riedi,2019–2026,"1,727",-1.18
117,Hugo Gaston,2018–2026,"1,764",-0.95
118,Nikoloz Basilashvili,2008–2026,"1,953",-0.45
119,Cristian Garin,2012–2026,"1,948",0.00
120,Pablo Llamas Ruiz,2019–2026,"1,686",-0.38
121,Nicolai Budkov Kjaer,2019–2026,"1,636",-1.40
122,Henrique Rocha,2019–2026,"1,638",-1.21
123,Sebastian Ofner,2015–2026,"1,822",-0.54
124,Francesco Maestrelli,2020–2026,"1,557",-1.90
125,Alexandre Muller,2014–2026,"1,816",-0.64
126,Dane Sweeny,2018–2026,"1,661",-1.26
127,Facundo Diaz Acosta,2018–2026,"1,688",-0.10
128,Mackenzie McDonald,2016–2026,"1,868",-0.24
129,Vilius Gaubas,2019–2026,"1,649",-0.24
130,Jacob Fearnley,2019–2026,"1,781",-0.60
131,Roman Safiullin,2015–2026,"1,930",-0.04
132,Stefano Travaglia,2008–2026,"1,806",-0.57
133,Andrea Pellegrino,2016–2026,"1,707",-0.27
134,Nishesh Basavareddy,2019–2026,"1,723",-1.10
135,Arthur Gea,2019–2026,"1,638",-0.57
136,Pedro Martinez,2016–2026,"1,845",-0.65
137,Tomas Barrios Vera,2019–2026,"1,652",-1.64
138,Shintaro Mochizuki,2019–2026,"1,693",-1.53
139,Dusan Lajovic,2007–2026,"1,900",-0.33
140,Arthur Fery,2019–2026,"1,634",-1.25
141,Carlos Taberner,2015–2026,"1,656",-0.45
142,Billy Harris,2015–2026,"1,672",-0.51
143,August Holmgren,2022–2026,"1,644",-1.12
144,Toby Samuel,2019–2026,"1,562",-2.67
145,Kyrian Jacquet,2018–2026,"1,586",-1.98
146,Michael Zheng,2019–2026,"1,606",-1.90
147,Jack Pinnington Jones,2019–2026,"1,581",-0.81
148,Rei Sakamoto,2019–2026,"1,582",-1.56
149,Tristan Schoolkate,2019–2026,"1,638",-0.84
150,Moez Echargui,2007–2026,"1,512",-1.17
151,Elmer Moller,2019–2026,"1,604",-1.74
152,Jurij Rodionov,2017–2026,"1,645",-0.88
153,Stefanos Sakellaridis,2019–2026,"1,540",-0.33
154,Christopher O'Connell,2011–2026,"1,820",-0.49
155,Alex Bolt,2011–2026,"1,728",-0.89
156,Zdenek Kolar,2014–2026,"1,565",-1.60
157,Juan Carlos Prado Angelo,2019–2026,"1,536",-1.20
158,Jordan Thompson,2013–2026,"1,944",-0.22
159,Liam Draxl,2018–2026,"1,519",-1.67
160,Otto Virtanen,2018–2026,"1,686",-0.75
161,Lloyd Harris,2015–2026,"1,938",-0.29
162,Filip Misolic,2019–2026,"1,791",-0.64
163,Hugo Dellien,2010–2026,"1,757",-1.15
164,Nicolas Mejia,2019–2026,"1,532",-3.33
165,Lukas Neumayer,2021–2026,"1,535",-1.42
166,Mark Lajal,2019–2026,"1,642",+0.03
167,Marco Cecchinato,2010–2026,"1,903",-0.74
168,Luka Mikrut,2019–2026,"1,505",-3.00
169,Grigor Dimitrov,2008–2026,"2,176",+0.54
170,Daniil Glinka,2018–2026,"1,516",—
171,Ugo Blanchet,2018–2026,"1,663",-0.81
172,Roberto Carballes Baena,2011–2026,"1,798",-0.41
173,Luca Nardi,2018–2026,"1,669",-1.02
174,Joel Schwaerzler,2019–2026,"1,502",-2.50
175,Zsombor Piros,2016–2026,"1,552",-2.13
176,Timofey Skatov,2019–2026,"1,655",-1.56
177,Colton Smith,2019–2026,"1,620",-1.20
178,Francesco Passaro,2019–2026,"1,670",-0.61
179,Chris Rodesch,2019–2026,"1,555",-1.67
180,Lukas Klein,2016–2026,"1,738",-0.15
181,Federico Cina,2022–2026,"1,591",-1.40
182,Elias Ymer,2014–2026,"1,696",-1.04
183,Gonzalo Bueno,2019–2026,"1,545",—
184,Borna Gojo,2020–2026,"1,766",-0.39
185,Yoshihito Nishioka,2014–2026,"1,931",-0.46
186,Gauthier Onclin,2019–2026,"1,572",-0.58
187,Gustavo Heide,2018–2026,"1,599",-0.72
188,Alexis Galarneau,2016–2026,"1,557",-1.08
189,Zhizhen Zhang,2012–2026,"1,842",-0.31
190,David Jorda Sanchis,2007–2026,"1,487",—
191,Tristan Boyer,2018–2026,"1,572",-0.74
192,Bernard Tomic,2008–2026,"1,968",-0.14
193,Giulio Zeppieri,2019–2026,"1,709",-0.85
194,Gianluca Cadenasso,2019–2026,"1,512",-2.33
195,Michael Mmoh,2016–2026,"1,775",-0.44
196,Clement Tabur,2017–2026,"1,511",-2.11
197,Remy Bertola,2016–2026,"1,561",-3.00
198,Juan Pablo Ficovich,2015–2026,"1,574",-0.15
199,Vitaliy Sachko,2014–2026,"1,542",-2.29
200,Clement Chidekh,2022–2026,"1,540",-1.00
