Alexandra Eala,Belinda Bencic,player,Anastasia Potapova,Barbora Krejcikova,Karolina Muchova,Iga Swiatek,Elina Svitolina,Madison Keys,Tereza Valentova,Karolina Pliskova,Jelena Ostapenko,Marketa Vondrousova,Victoria Mboko,Jasmine Paolini,Hailey Baptiste,Diana Shnaider,Katerina Siniakova,Coco Gauff,Qinwen Zheng,Marta Kostyuk,Naomi Osaka,Jessica Pegula,Anna Kalinskaya,Amanda Anisimova,Elena Rybakina,Iva Jovic,Aryna Sabalenka,Sorana Cirstea,Sonay Kartal,elo,Linda Noskova,Elise Mertens,Mirra Andreeva
0.667,,Belinda Bencic,0.6,0.641,0.409,0.372,0.383,0.546,0.698,0.664,0.688,0.616,0.475,0.596,0.697,0.584,0.696,0.358,0.671,0.404,0.524,0.364,0.596,0.607,0.296,0.618,0.2,0.546,0.66,1989.0,0.559,0.628,0.348
0.645,0.476,Naomi Osaka,0.577,0.618,0.386,0.35,0.361,0.522,0.677,0.642,0.667,0.593,0.451,0.572,0.677,0.561,0.675,0.336,0.649,0.381,,0.342,0.573,0.584,0.277,0.595,0.185,0.523,0.638,1972.4,0.536,0.605,0.327
0.625,0.454,Madison Keys,0.555,0.597,0.365,0.33,0.341,,0.658,0.621,0.647,0.571,0.429,0.551,0.657,0.539,0.656,0.317,0.629,0.36,0.478,0.322,0.551,0.562,0.259,0.573,0.172,0.501,0.617,1957.0,0.514,0.584,0.308
0.624,0.454,Sorana Cirstea,0.554,0.597,0.365,0.329,0.34,0.499,0.657,0.621,0.647,0.571,0.429,0.55,0.657,0.538,0.655,0.316,0.628,0.36,0.477,0.322,0.55,0.562,0.259,0.573,0.172,,0.617,1956.6,0.513,0.583,0.307
0.612,0.441,Linda Noskova,0.541,0.584,0.353,0.318,0.329,0.486,0.645,0.608,0.635,0.558,0.416,0.537,0.645,0.525,0.643,0.305,0.616,0.348,0.464,0.31,0.537,0.549,0.249,0.56,0.165,0.487,0.604,1947.5,,0.57,0.296
0.588,0.416,Diana Shnaider,0.516,0.559,0.33,0.296,0.307,0.461,0.622,0.584,0.611,0.533,0.392,0.512,0.621,,0.62,0.284,0.592,0.325,0.439,0.289,0.512,0.523,0.23,0.535,0.151,0.462,0.58,1929.9,0.475,0.545,0.276
0.576,0.404,Jasmine Paolini,0.504,0.547,0.319,0.287,0.297,0.449,0.611,0.573,0.6,0.521,0.38,,0.61,0.488,0.608,0.274,0.58,0.315,0.428,0.28,0.5,0.512,0.222,0.523,0.145,0.45,0.568,1921.7,0.463,0.534,0.266
0.576,0.404,Anna Kalinskaya,0.504,0.547,0.319,0.286,0.296,0.449,0.61,0.572,0.599,0.521,0.38,0.5,0.61,0.488,0.608,0.274,0.58,0.315,0.427,0.279,,0.511,0.222,0.523,0.145,0.45,0.568,1921.5,0.463,0.533,0.266
0.572,0.4,Anastasia Potapova,,0.543,0.316,0.283,0.293,0.445,0.606,0.568,0.596,0.517,0.376,0.496,0.606,0.484,0.604,0.271,0.576,0.311,0.423,0.276,0.496,0.507,0.219,0.519,0.143,0.446,0.564,1918.7,0.459,0.529,0.263
0.565,0.393,Amanda Anisimova,0.493,0.536,0.309,0.277,0.287,0.438,0.599,0.561,0.588,0.509,0.37,0.488,0.599,0.477,0.597,0.265,0.569,0.305,0.416,0.27,0.489,,0.214,0.511,0.139,0.438,0.557,1913.6,0.451,0.522,0.257
0.556,0.384,Marketa Vondrousova,0.483,0.527,0.301,0.27,0.279,0.429,0.59,0.552,0.579,,0.361,0.479,0.59,0.467,0.588,0.258,0.56,0.297,0.407,0.263,0.479,0.491,0.208,0.502,0.135,0.429,0.547,1907.1,0.442,0.513,0.25
0.554,0.382,Iva Jovic,0.481,0.525,0.3,0.268,0.278,0.427,0.588,0.55,0.577,0.498,0.359,0.477,0.588,0.465,0.586,0.256,0.558,0.295,0.405,0.261,0.477,0.489,0.207,,0.134,0.427,0.545,1905.7,0.44,0.511,0.249
0.543,0.372,Elise Mertens,0.471,0.514,0.291,0.26,0.269,0.416,0.578,0.539,0.567,0.487,0.349,0.466,0.578,0.455,0.576,0.248,0.547,0.287,0.395,0.253,0.467,0.478,0.2,0.489,0.129,0.417,0.535,1898.2,0.43,,0.241
0.529,0.359,Barbora Krejcikova,0.457,,0.28,0.249,0.258,0.403,0.564,0.525,0.553,0.473,0.337,0.453,0.564,0.441,0.562,0.238,0.533,0.275,0.382,0.243,0.453,0.464,0.191,0.475,0.123,0.403,0.521,1888.6,0.416,0.486,0.231
0.508,0.34,Sonay Kartal,0.436,0.479,0.263,0.234,0.243,0.383,0.544,0.504,0.532,0.453,0.318,0.432,0.543,0.42,0.541,0.223,0.512,0.259,0.362,0.228,0.432,0.443,0.178,0.455,0.114,0.383,,1874.0,0.396,0.465,0.216
0.504,0.336,Karolina Pliskova,0.432,0.475,0.259,0.231,0.239,0.379,0.539,,0.528,0.448,0.314,0.427,0.539,0.416,0.537,0.22,0.508,0.255,0.358,0.225,0.428,0.439,0.176,0.45,0.112,0.379,0.496,1870.9,0.392,0.461,0.213
,0.333,Alexandra Eala,0.428,0.471,0.257,0.228,0.237,0.375,0.535,0.496,0.524,0.444,0.311,0.424,0.535,0.412,0.533,0.218,0.504,0.253,0.355,0.222,0.424,0.435,0.174,0.446,0.111,0.376,0.492,1868.3,0.388,0.457,0.211
0.496,0.329,Qinwen Zheng,0.424,0.467,0.254,0.225,0.234,0.371,0.531,0.492,0.52,0.44,0.308,0.42,0.531,0.408,0.529,0.215,,0.25,0.351,0.219,0.42,0.431,0.171,0.442,0.109,0.372,0.488,1865.5,0.384,0.453,0.208
0.476,0.312,Jelena Ostapenko,0.404,0.447,0.239,0.211,0.22,0.353,0.511,0.472,,0.421,0.291,0.4,0.511,0.389,0.509,0.201,0.48,0.235,0.333,0.206,0.401,0.412,0.16,0.423,0.102,0.353,0.468,1851.5,0.365,0.433,0.195
0.467,0.304,Katerina Siniakova,0.396,0.438,0.232,0.206,0.214,0.344,0.502,0.463,0.491,0.412,0.283,0.392,0.502,0.38,,0.196,0.471,0.228,0.325,0.2,0.392,0.403,0.155,0.414,0.099,0.345,0.459,1845.2,0.357,0.424,0.189
0.465,0.303,Hailey Baptiste,0.394,0.436,0.231,0.204,0.212,0.343,0.5,0.461,0.489,0.41,0.282,0.39,,0.379,0.498,0.195,0.469,0.227,0.323,0.199,0.39,0.401,0.154,0.412,0.098,0.343,0.457,1843.9,0.355,0.422,0.188
0.465,0.302,Tereza Valentova,0.394,0.436,0.23,0.204,0.212,0.342,,0.461,0.489,0.41,0.281,0.389,0.5,0.378,0.498,0.194,0.469,0.227,0.323,0.198,0.39,0.401,0.154,0.412,0.098,0.343,0.456,1843.6,0.355,0.422,0.188
